Gender,Squad,Poss,Performance Gls,Performance Ast,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance W,Performance D,Performance L,Performance CS,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Goals FK,Goals CK,Goals OG,Expected PSxG,Expected PSxG/SoT,Expected PSxG+/-,Expected /90,Launched Cmp,Launched Att,Passes Att,Passes Thr,Passes Launch%,Passes AvgLen,Goal Kicks Att,Goal Kicks Launch%,Goal Kicks AvgLen,Crosses Opp,Crosses Stp,Sweeper #OPA,Sweeper #OPA/90,Sweeper AvgDist,Standard Sh,Standard SoT,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,Total Cmp,Total TotDist,Total PrgDist,Short Cmp,Short Att,Medium Cmp,Medium Att,Long Cmp,Long Att,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Pass Types Live,Pass Types Dead,Pass Types FK,Pass Types TB,Pass Types Sw,Pass Types Crs,Pass Types TI,Pass Types CK,Corner Kicks In,Corner Kicks Out,Corner Kicks Str,Outcomes Cmp,Outcomes Off,Outcomes Blocks,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Clr,Err,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,Subs Subs,Subs Mn/Sub,Performance Fls,Performance Fld,Performance Off,Performance Recov,Aerial Duels Won,Aerial Duels Lost
Male,NYCFC,56.4,56,39,49,7,9,81,2,58.5,52.8,41.3,94.1,678,1486,1.65,1.15,1.44,2.59,1.72,1.21,2.94,1.55,2.77,41,1.21,119,80,16,7,11,14,1,1,0,0,0,2,2,38.4,0.32,-0.6,-0.02,131,372,1072,159,23.4,29.7,233,51.9,40.4,404,13,25,0.74,14.2,473,162,13.91,4.76,0.1,0.3,17.2,12,0.12,-2.5,-3.8,15247,264046,96238,7092,7885,6243,7171,1511,2558,42.3,-2.3,368,1081,323,66,1486,16924,1632,493,64,132,584,651,178,95,38,3,15247,53,294,843,24.79,621,75,46,61,29,11,94,2.76,62,6,7,10,5,4,533,315,243,226,64,242,492,250,367,89,278,280,591,9,22315,2303,7434,9796,5289,838,22306,608,302,277,45.6,13610,68312,34636,678,483,161,565,332,15106,1475,137,22,411,426,53,1942,391,389
Male,Orlando City,50.4,42,34,39,3,4,81,3,40.1,37.1,29.9,66.9,517,1406,1.24,1,1.15,2.15,1.18,0.88,2.06,1.09,1.97,53,1.56,140,88,14,6,14,9,6,6,0,0,1,5,1,50.8,0.33,-1.2,-0.04,128,287,567,113,31.7,30.5,257,41.6,34.8,460,29,21,0.62,13.2,404,120,11.88,3.53,0.1,0.33,18.3,10,0.09,1.9,1.9,12983,230276,84319,5993,6690,5444,6375,1313,2261,32.3,4.1,323,1161,266,61,1406,14373,1594,518,48,105,590,579,151,66,54,1,12983,42,237,723,21.26,546,72,26,41,30,8,70,2.06,45,9,3,8,4,1,579,338,308,200,71,302,577,275,323,93,230,292,579,4,19544,1819,5976,8741,5025,675,19540,485,218,239,49.3,10795,57879,30551,517,419,118,507,235,12889,1395,154,20,395,480,42,1663,389,363
Male,Philadelphia,43.9,70,49,61,9,10,68,3,59.3,51.6,38.7,90.3,451,1236,2.06,1.44,1.79,3.24,1.74,1.14,2.88,1.52,2.66,26,0.76,126,99,19,10,5,15,5,4,1,0,0,2,0,36,0.25,10,0.3,168,473,669,128,40.8,35.5,284,70.4,49.5,539,32,25,0.74,13.1,440,168,12.94,4.94,0.14,0.36,17.2,20,0.12,10.7,9.4,9706,186004,80462,4032,4844,4116,5120,1353,2589,38.7,10.3,316,846,275,76,1236,11726,1519,408,45,151,574,611,156,97,51,0,9706,57,288,769,22.62,534,78,30,57,57,13,117,3.44,80,6,8,12,10,1,595,369,300,231,64,277,584,307,366,114,252,387,690,2,17106,2008,5724,7311,4294,762,17096,448,198,236,52.7,8573,45281,22414,451,313,109,489,199,9620,1224,116,18,488,366,57,1864,536,529
Male,Portland Timbers,48.2,52,35,42,10,11,94,5,50.3,41.6,34.3,75.9,518,1326,1.53,1.03,1.24,2.26,1.48,1.01,2.49,1.22,2.23,53,1.56,173,121,11,13,10,6,2,1,1,0,1,7,2,56.4,0.32,5.4,0.16,135,462,641,130,43.5,37.6,299,61.2,47.5,606,22,18,0.53,11.5,429,132,12.62,3.88,0.1,0.32,18.6,18,0.1,1.7,0.4,12122,220050,82811,5392,6100,4939,5849,1441,2700,35.2,0.7,321,1053,276,55,1326,13899,1548,434,33,208,583,580,149,68,68,2,12122,28,232,776,22.82,568,57,34,49,53,15,95,2.79,59,9,5,8,14,0,566,338,308,174,84,285,623,338,318,125,193,368,734,6,19373,2218,6436,8285,4858,732,19362,593,307,263,44.4,10745,56925,29364,518,417,130,540,269,12013,1317,142,18,450,372,28,1829,400,448
Male,Real Salt Lake,47.4,43,33,42,1,2,69,1,45.1,43.6,33.7,77.3,531,1278,1.26,0.97,1.24,2.21,1.33,0.99,2.32,1.28,2.27,45,1.32,147,99,12,11,11,10,9,6,3,0,0,3,0,43.1,0.24,-1.9,-0.05,247,700,928,145,53.3,42.2,287,71.4,52,477,37,41,1.21,14.2,434,155,12.76,4.56,0.1,0.27,17.3,17,0.1,-2.1,-1.6,11727,226909,83739,4658,5316,5217,6073,1608,3031,32.2,-0.7,337,1012,253,92,1278,13551,1526,369,42,197,739,603,187,133,43,2,11727,65,226,768,22.59,561,70,52,42,33,10,78,2.29,56,9,5,5,3,0,465,282,228,179,58,217,483,266,313,90,223,363,594,9,18660,1959,5945,8161,4736,697,18658,583,291,254,43.6,9984,55704,27485,531,395,127,513,220,11627,1270,143,19,351,331,65,1683,411,439
Male,San Jose,56.4,52,35,45,7,7,66,1,44.9,39.5,30.8,70.3,581,1426,1.53,1.03,1.32,2.35,1.32,0.91,2.23,1.16,2.07,69,2.03,186,117,8,11,15,4,6,6,0,0,1,9,0,61.8,0.3,-7.2,-0.21,144,398,836,190,33.9,34.3,250,46,38.5,404,22,33,0.97,15.4,448,142,13.18,4.18,0.1,0.32,19.2,12,0.09,7.1,5.5,14658,270670,91543,6244,6978,6494,7376,1689,2779,35.1,4.2,335,1115,256,57,1426,16089,1698,499,59,166,596,659,187,56,88,0,14658,39,285,783,23.03,570,71,42,50,34,16,86,2.53,59,5,2,11,8,1,530,294,267,199,64,295,594,299,334,117,217,381,480,17,21414,2032,6630,9992,5026,648,21407,642,317,290,45.2,13087,68973,34487,581,450,113,561,338,14546,1421,126,18,377,457,39,1741,310,313
Male,Seattle,52.9,44,27,38,6,7,64,4,47.8,42.5,33.1,75.6,516,1458,1.29,0.79,1.12,1.91,1.4,0.97,2.38,1.25,2.22,46,1.35,159,112,12,5,17,6,7,6,1,0,1,4,0,51,0.29,5,0.15,150,360,798,148,29.4,32,306,40.8,36.5,429,10,16,0.47,12.4,413,123,12.15,3.62,0.09,0.31,17.6,14,0.11,-3.8,-4.5,14686,259607,93199,6829,7573,5850,6785,1637,2768,32.8,-6.1,297,1116,258,89,1458,16397,1583,438,34,186,717,587,167,52,64,1,14686,61,278,746,21.94,555,65,30,48,38,10,78,2.29,57,4,2,7,8,0,544,321,293,194,57,277,566,289,313,102,211,361,585,12,21529,2210,6563,9902,5239,691,21522,511,258,220,43.1,12412,62922,31327,516,457,125,464,282,14587,1453,141,20,335,405,61,1800,408,391
Male,Sporting KC,50,40,21,37,3,5,64,6,38.8,34.9,26.1,61,619,1197,1.18,0.62,1.09,1.71,1.14,0.77,1.91,1.03,1.8,54,1.59,138,83,11,7,16,8,6,4,2,0,1,4,1,48.6,0.31,-4.4,-0.13,124,363,720,137,34.2,33.9,245,47.8,40.7,414,9,12,0.35,13.3,410,140,12.06,4.12,0.09,0.26,19.1,23,0.09,1.2,2.1,13145,245860,78950,5416,6113,5890,6721,1584,2738,26.9,-5.1,298,1065,202,66,1197,14606,1665,501,36,189,561,689,141,72,41,4,13145,26,268,724,21.29,538,54,43,38,40,11,66,1.94,50,2,3,6,5,0,450,264,183,202,65,205,443,238,292,90,202,313,558,11,19647,1899,6101,8817,4930,650,19642,580,280,278,47.9,11226,63316,33432,619,491,164,537,254,13021,1184,117,21,375,410,26,1680,360,401
Male,Toronto FC,51,48,31,42,6,8,66,2,42.3,36,28.5,64.5,575,1415,1.41,0.91,1.24,2.15,1.24,0.84,2.08,1.06,1.9,66,1.94,184,119,9,7,18,3,4,3,1,0,1,9,2,60.3,0.32,-3.7,-0.11,144,474,944,207,36,33.1,306,43.8,38.4,514,30,75,2.21,19.3,364,133,10.71,3.91,0.12,0.32,18,13,0.1,5.7,6,13884,232800,87046,6770,7606,5465,6406,1221,2358,32.3,2.5,281,1086,267,27,1415,15526,1757,509,50,131,444,672,165,104,37,2,13884,41,287,651,19.15,486,44,42,39,34,6,82,2.41,53,6,9,6,8,0,535,304,251,199,85,246,501,255,360,115,245,341,610,6,21190,2285,6925,9204,5257,633,21183,751,370,338,45,11945,63904,31704,575,470,149,595,341,13778,1402,134,24,333,433,41,1880,363,385
Male,Vancouver,41.9,40,23,36,4,5,70,3,38.3,34.3,26.1,60.5,471,1294,1.18,0.68,1.06,1.74,1.13,0.77,1.89,1.01,1.78,57,1.68,146,87,12,7,15,9,7,5,2,0,0,5,0,46.2,0.28,-10.8,-0.32,152,406,492,136,42.5,36.8,277,71.1,49.7,509,39,17,0.5,10.4,382,119,11.24,3.5,0.09,0.3,17.7,9,0.09,1.7,1.7,11163,209371,80200,4695,5330,4963,5911,1337,2542,30.7,-3.1,275,987,272,84,1294,12868,1505,406,30,122,657,568,153,86,50,3,11163,52,237,675,19.85,486,63,31,49,33,13,65,1.91,49,3,3,3,6,1,502,316,267,170,65,223,532,309,349,132,217,351,661,5,17870,1959,5849,7952,4224,664,17865,443,231,193,43.6,9763,49535,24967,471,320,101,467,206,11078,1284,162,24,384,376,52,1693,419,467
Female,Angel City,48.8,22,13,20,2,5,28,1,24.2,20.1,14.2,34.2,305,712,1,0.59,0.91,1.5,1.1,0.64,1.74,0.91,1.56,27,1.23,101,74,8,5,9,4,5,4,1,0,0,3,1,28.7,0.24,2.7,0.12,96,209,685,107,19.4,29,194,39.2,33.1,374,22,19,0.86,12.3,252,84,11.45,3.82,0.08,0.24,18,2,0.08,-2.2,-0.1,6868,122022,52614,3072,3749,2951,3781,713,1500,16.6,-1.2,181,552,115,30,712,8345,1168,266,21,36,336,557,102,74,11,4,6868,44,224,443,20.14,304,42,35,31,15,16,40,1.82,25,2,5,5,2,1,509,319,273,165,71,222,414,192,288,89,199,278,545,15,12462,1517,4885,4937,2776,429,12457,396,186,195,49.2,5926,32464,15520,305,191,117,397,273,6783,701,74,20,232,230,44,1453,281,281
Female,Courage,55,45,33,43,2,2,22,0,37.2,35.6,26.1,61.8,422,972,2.05,1.5,1.95,3.45,1.69,1.19,2.88,1.62,2.81,33,1.5,108,75,9,5,8,7,2,2,0,0,1,5,0,33.5,0.3,0.5,0.02,59,171,676,129,18,26.8,143,34.3,32,241,20,16,0.73,12.6,300,116,13.64,5.27,0.14,0.37,15.7,7,0.12,7.8,7.4,8919,162646,59692,3606,4214,4229,5008,908,1735,27.2,6.9,214,672,189,62,972,10344,1096,212,13,67,492,572,115,56,37,5,8919,48,173,505,22.95,382,36,32,29,18,8,84,3.82,62,4,4,9,3,2,434,257,187,174,73,200,376,176,286,73,213,239,316,7,14115,1296,4615,5995,3650,551,14113,456,189,245,53.7,7547,39049,20831,422,273,115,390,274,8854,964,87,16,210,168,48,1436,194,228
Female,Current,48.1,29,20,23,6,7,25,1,29,23.5,18.8,42.2,350,779,1.32,0.91,1.05,1.95,1.32,0.85,2.17,1.07,1.92,29,1.32,100,72,10,6,6,6,5,4,1,0,0,4,2,31.7,0.27,4.7,0.21,93,253,580,112,28.6,32.4,184,47.3,36,307,21,33,1.5,16.5,253,105,11.5,4.77,0.09,0.22,17.5,12,0.09,0,-0.5,6146,114638,51686,2482,3177,2831,3662,735,1544,20.6,1.2,175,552,152,28,779,7612,1196,282,27,38,335,568,111,35,36,10,6146,34,226,440,20,309,45,22,18,33,13,52,2.36,38,3,3,2,5,1,436,254,207,182,47,154,305,151,263,70,193,234,408,6,11325,1277,4020,4722,2705,466,11318,358,151,184,51.4,5668,31094,15872,350,226,116,385,238,6083,771,93,20,227,229,34,1431,207,238
Female,Dash,47.5,32,22,29,3,3,34,0,25,22.7,16,38.6,330,701,1.45,1,1.32,2.32,1.14,0.73,1.86,1.03,1.76,27,1.23,82,57,10,6,6,6,3,3,0,0,0,0,2,26.3,0.29,1.3,0.06,124,363,602,79,39.9,34.4,168,73.2,43.6,261,23,43,1.95,16.2,278,92,12.64,4.18,0.1,0.32,17.9,6,0.08,7,6.3,6339,117369,47580,2607,3236,2845,3605,743,1699,16.9,6,190,495,124,30,701,7918,1130,257,20,41,351,554,101,56,29,0,6339,35,217,429,19.5,310,35,22,28,23,11,55,2.5,39,2,5,3,4,2,448,269,199,178,71,176,350,174,243,51,192,285,362,5,11640,1241,4279,4881,2619,420,11637,354,160,182,51.4,5703,30452,15558,330,191,115,374,226,6275,686,99,16,250,190,35,1463,242,275
